fault_id,fault_class,description,fixture_id,archetype,target_event_id,query_id,target,system,gold,prediction,affected_by_declared_target,fault_has_observed_semantic_effect,correct,detected,localized_target,silent_wrong,contained,finding_codes,localized_ids,local_checks,cross_checks
unauthorized_state_replication,enforceable,remove replication authorization,f02,authorized_operational_replica,f02-e10,f02-q01,attribution,generic_basic,same_principal_state_replication,same_principal_state_replication,1,0,1,0,0,0,0,,,22,0
unauthorized_state_replication,enforceable,remove replication authorization,f02,authorized_operational_replica,f02-e10,f02-q02,merge_eligible,generic_basic,yes,yes,0,0,1,0,0,0,0,,,22,0
unauthorized_state_replication,enforceable,remove replication authorization,f02,authorized_operational_replica,f02-e10,f02-q03,attitude,generic_basic,believe:true,believe:true,1,0,1,0,0,0,0,,,22,0
unauthorized_state_replication,enforceable,remove replication authorization,f02,authorized_operational_replica,f02-e10,f02-q04,available,generic_basic,yes,yes,1,0,1,0,0,0,0,,,22,0
unauthorized_state_replication,enforceable,remove replication authorization,f02,authorized_operational_replica,f02-e10,f02-q01,attribution,generic_audited,same_principal_state_replication,abstain:fault,1,0,0,1,1,0,1,invalid_state_replication,f02-e10,44,21
unauthorized_state_replication,enforceable,remove replication authorization,f02,authorized_operational_replica,f02-e10,f02-q02,merge_eligible,generic_audited,yes,yes,0,0,1,1,1,0,0,invalid_state_replication,f02-e10,44,21
unauthorized_state_replication,enforceable,remove replication authorization,f02,authorized_operational_replica,f02-e10,f02-q03,attitude,generic_audited,believe:true,abstain:fault,1,0,0,1,1,0,1,invalid_state_replication,f02-e10,44,21
unauthorized_state_replication,enforceable,remove replication authorization,f02,authorized_operational_replica,f02-e10,f02-q04,available,generic_audited,yes,abstain:fault,1,0,0,1,1,0,1,invalid_state_replication,f02-e10,44,21
unauthorized_state_replication,enforceable,remove replication authorization,f02,authorized_operational_replica,f02-e10,f02-q01,attribution,typed,same_principal_state_replication,abstain:fault,1,0,0,1,1,0,1,invalid_state_replication,f02-e10,55,32
unauthorized_state_replication,enforceable,remove replication authorization,f02,authorized_operational_replica,f02-e10,f02-q02,merge_eligible,typed,yes,yes,0,0,1,1,1,0,0,invalid_state_replication,f02-e10,55,32
unauthorized_state_replication,enforceable,remove replication authorization,f02,authorized_operational_replica,f02-e10,f02-q03,attitude,typed,believe:true,abstain:fault,1,0,0,1,1,0,1,invalid_state_replication,f02-e10,55,32
unauthorized_state_replication,enforceable,remove replication authorization,f02,authorized_operational_replica,f02-e10,f02-q04,available,typed,yes,abstain:fault,1,0,0,1,1,0,1,invalid_state_replication,f02-e10,55,32
copy_claims_direct_observation,enforceable,copy mislabeled as direct observation,f03,identity_fork_no_first_person,f03-e11,f03-q01,attribution,generic_basic,evidence_copy,evidence_copy,1,0,1,0,0,0,0,,,24,0
copy_claims_direct_observation,enforceable,copy mislabeled as direct observation,f03,identity_fork_no_first_person,f03-e11,f03-q02,merge_eligible,generic_basic,no,no,0,0,1,0,0,0,0,,,24,0
copy_claims_direct_observation,enforceable,copy mislabeled as direct observation,f03,identity_fork_no_first_person,f03-e11,f03-q03,attitude,generic_basic,believe:true,believe:true,1,0,1,0,0,0,0,,,24,0
copy_claims_direct_observation,enforceable,copy mislabeled as direct observation,f03,identity_fork_no_first_person,f03-e11,f03-q01,attribution,generic_audited,evidence_copy,abstain:fault,1,0,0,1,1,0,1,copy_claims_direct_observation,f03-e11,48,21
copy_claims_direct_observation,enforceable,copy mislabeled as direct observation,f03,identity_fork_no_first_person,f03-e11,f03-q02,merge_eligible,generic_audited,no,no,0,0,1,1,1,0,0,copy_claims_direct_observation,f03-e11,48,21
copy_claims_direct_observation,enforceable,copy mislabeled as direct observation,f03,identity_fork_no_first_person,f03-e11,f03-q03,attitude,generic_audited,believe:true,abstain:fault,1,0,0,1,1,0,1,copy_claims_direct_observation,f03-e11,48,21
copy_claims_direct_observation,enforceable,copy mislabeled as direct observation,f03,identity_fork_no_first_person,f03-e11,f03-q01,attribution,typed,evidence_copy,abstain:fault,1,0,0,1,1,0,1,copy_claims_direct_observation,f03-e11,60,33
copy_claims_direct_observation,enforceable,copy mislabeled as direct observation,f03,identity_fork_no_first_person,f03-e11,f03-q02,merge_eligible,typed,no,no,0,0,1,1,1,0,0,copy_claims_direct_observation,f03-e11,60,33
copy_claims_direct_observation,enforceable,copy mislabeled as direct observation,f03,identity_fork_no_first_person,f03-e11,f03-q03,attitude,typed,believe:true,abstain:fault,1,0,0,1,1,0,1,copy_claims_direct_observation,f03-e11,60,33
adoption_before_receipt,enforceable,move adoption before receipt,f07,receipt_and_rejection,f07-e10,f07-q01,attitude,generic_basic,disbelieve:true,disbelieve:true,1,0,1,0,0,0,0,,,20,0
