case_id,split,topology_family,rendering_family,condition,treatment,architecture,selected_event_exact,verifier_status,abstained,projection_error,answer,expected_answer,answer_correct,silent_wrong_use,unsafe_disclosure,false_denial
X08-F08-clean,heldout,restore_manifest_gap,conversational,clean,raw_verifier,G_generic,1,accept,0,0,True,True,1,0,0,0
X08-F08-clean,heldout,restore_manifest_gap,conversational,clean,raw_verifier,T_typed,1,accept,0,0,True,True,1,0,0,0
X08-F08-field,heldout,restore_manifest_gap,conversational,field_corruption,raw_verifier,G_generic,1,correct,0,0,True,True,1,0,0,0
X08-F08-field,heldout,restore_manifest_gap,conversational,field_corruption,raw_verifier,T_typed,1,correct,0,0,True,True,1,0,0,0
X08-F08-omitted,heldout,restore_manifest_gap,conversational,candidate_omitted,raw_verifier,G_generic,1,correct,0,0,True,True,1,0,0,0
X08-F08-omitted,heldout,restore_manifest_gap,conversational,candidate_omitted,raw_verifier,T_typed,1,correct,0,0,True,True,1,0,0,0
X08-F08-raw-unavailable,heldout,restore_manifest_gap,conversational,raw_unavailable,raw_verifier,G_generic,0,abstain,1,0,'ABSTAIN',True,0,0,0,0
X08-F08-raw-unavailable,heldout,restore_manifest_gap,conversational,raw_unavailable,raw_verifier,T_typed,0,abstain,1,0,'ABSTAIN',True,0,0,0,0
X09-F09-clean,heldout,cross_world_reference_context,elliptical,clean,raw_verifier,G_generic,1,accept,0,0,True,True,1,0,0,0
X09-F09-clean,heldout,cross_world_reference_context,elliptical,clean,raw_verifier,T_typed,1,accept,0,0,True,True,1,0,0,0
X09-F09-field,heldout,cross_world_reference_context,elliptical,field_corruption,raw_verifier,G_generic,1,correct,0,0,True,True,1,0,0,0
X09-F09-field,heldout,cross_world_reference_context,elliptical,field_corruption,raw_verifier,T_typed,1,correct,0,0,True,True,1,0,0,0
X09-F09-omitted,heldout,cross_world_reference_context,elliptical,candidate_omitted,raw_verifier,G_generic,1,correct,0,0,True,True,1,0,0,0
X09-F09-omitted,heldout,cross_world_reference_context,elliptical,candidate_omitted,raw_verifier,T_typed,1,correct,0,0,True,True,1,0,0,0
X09-F09-raw-unavailable,heldout,cross_world_reference_context,elliptical,raw_unavailable,raw_verifier,G_generic,0,abstain,1,0,'ABSTAIN',True,0,0,0,0
X09-F09-raw-unavailable,heldout,cross_world_reference_context,elliptical,raw_unavailable,raw_verifier,T_typed,0,abstain,1,0,'ABSTAIN',True,0,0,0,0
X10-F10-clean,heldout,protected_only_revocation,explicit,clean,raw_verifier,G_generic,1,accept,0,0,False,False,1,0,0,0
X10-F10-clean,heldout,protected_only_revocation,explicit,clean,raw_verifier,T_typed,1,accept,0,0,False,False,1,0,0,0
X10-F10-field,heldout,protected_only_revocation,explicit,field_corruption,raw_verifier,G_generic,1,correct,0,0,False,False,1,0,0,0
X10-F10-field,heldout,protected_only_revocation,explicit,field_corruption,raw_verifier,T_typed,1,correct,0,0,False,False,1,0,0,0
X10-F10-omitted,heldout,protected_only_revocation,explicit,candidate_omitted,raw_verifier,G_generic,1,correct,0,0,False,False,1,0,0,0
X10-F10-omitted,heldout,protected_only_revocation,explicit,candidate_omitted,raw_verifier,T_typed,1,correct,0,0,False,False,1,0,0,0
X10-F10-raw-unavailable,heldout,protected_only_revocation,explicit,raw_unavailable,raw_verifier,G_generic,0,abstain,1,0,'ABSTAIN',False,0,0,0,0
X10-F10-raw-unavailable,heldout,protected_only_revocation,explicit,raw_unavailable,raw_verifier,T_typed,0,abstain,1,0,'ABSTAIN',False,0,0,0,0
X11-F11-clean,heldout,independent_public_survives,conversational,clean,raw_verifier,G_generic,1,accept,0,0,"('J.pub',)","('J.pub',)",1,0,0,0
X11-F11-clean,heldout,independent_public_survives,conversational,clean,raw_verifier,T_typed,1,accept,0,0,"('J.pub',)","('J.pub',)",1,0,0,0
X11-F11-field,heldout,independent_public_survives,conversational,field_corruption,raw_verifier,G_generic,1,correct,0,0,"('J.pub',)","('J.pub',)",1,0,0,0
X11-F11-field,heldout,independent_public_survives,conversational,field_corruption,raw_verifier,T_typed,1,correct,0,0,"('J.pub',)","('J.pub',)",1,0,0,0
X11-F11-omitted,heldout,independent_public_survives,conversational,candidate_omitted,raw_verifier,G_generic,1,correct,0,0,"('J.pub',)","('J.pub',)",1,0,0,0
X11-F11-omitted,heldout,independent_public_survives,conversational,candidate_omitted,raw_verifier,T_typed,1,correct,0,0,"('J.pub',)","('J.pub',)",1,0,0,0
X11-F11-raw-unavailable,heldout,independent_public_survives,conversational,raw_unavailable,raw_verifier,G_generic,0,abstain,1,0,'ABSTAIN',"('J.pub',)",0,0,0,0
X11-F11-raw-unavailable,heldout,independent_public_survives,conversational,raw_unavailable,raw_verifier,T_typed,0,abstain,1,0,'ABSTAIN',"('J.pub',)",0,0,0,0
X12-F12-clean,heldout,same_origin_dedup,elliptical,clean,raw_verifier,G_generic,1,accept,0,0,(),(),1,0,0,0
X12-F12-clean,heldout,same_origin_dedup,elliptical,clean,raw_verifier,T_typed,1,accept,0,0,(),(),1,0,0,0
X12-F12-field,heldout,same_origin_dedup,elliptical,field_corruption,raw_verifier,G_generic,1,correct,0,0,(),(),1,0,0,0
X12-F12-field,heldout,same_origin_dedup,elliptical,field_corruption,raw_verifier,T_typed,1,correct,0,0,(),(),1,0,0,0
X12-F12-omitted,heldout,same_origin_dedup,elliptical,candidate_omitted,raw_verifier,G_generic,1,correct,0,0,(),(),1,0,0,0
X12-F12-omitted,heldout,same_origin_dedup,elliptical,candidate_omitted,raw_verifier,T_typed,1,correct,0,0,(),(),1,0,0,0
X12-F12-raw-unavailable,heldout,same_origin_dedup,elliptical,raw_unavailable,raw_verifier,G_generic,0,abstain,1,0,'ABSTAIN',(),0,0,0,0
X12-F12-raw-unavailable,heldout,same_origin_dedup,elliptical,raw_unavailable,raw_verifier,T_typed,0,abstain,1,0,'ABSTAIN',(),0,0,0,0
X13-F13-clean,heldout,authorized_replication,explicit,clean,raw_verifier,G_generic,1,accept,0,0,True,True,1,0,0,0
X13-F13-clean,heldout,authorized_replication,explicit,clean,raw_verifier,T_typed,1,accept,0,0,True,True,1,0,0,0
X13-F13-field,heldout,authorized_replication,explicit,field_corruption,raw_verifier,G_generic,1,correct,0,0,True,True,1,0,0,0
X13-F13-field,heldout,authorized_replication,explicit,field_corruption,raw_verifier,T_typed,1,correct,0,0,True,True,1,0,0,0
X13-F13-omitted,heldout,authorized_replication,explicit,candidate_omitted,raw_verifier,G_generic,1,correct,0,0,True,True,1,0,0,0
X13-F13-omitted,heldout,authorized_replication,explicit,candidate_omitted,raw_verifier,T_typed,1,correct,0,0,True,True,1,0,0,0
X13-F13-raw-unavailable,heldout,authorized_replication,explicit,raw_unavailable,raw_verifier,G_generic,0,abstain,1,0,'ABSTAIN',True,0,0,0,0
X13-F13-raw-unavailable,heldout,authorized_replication,explicit,raw_unavailable,raw_verifier,T_typed,0,abstain,1,0,'ABSTAIN',True,0,0,0,0
X14-F14-clean,heldout,temporal_negative_controls,conversational,clean,raw_verifier,G_generic,1,accept,0,0,'new','new',1,0,0,0
X14-F14-clean,heldout,temporal_negative_controls,conversational,clean,raw_verifier,T_typed,1,accept,0,0,'new','new',1,0,0,0
X14-F14-field,heldout,temporal_negative_controls,conversational,field_corruption,raw_verifier,G_generic,1,correct,0,0,'new','new',1,0,0,0
X14-F14-field,heldout,temporal_negative_controls,conversational,field_corruption,raw_verifier,T_typed,1,correct,0,0,'new','new',1,0,0,0
X14-F14-omitted,heldout,temporal_negative_controls,conversational,candidate_omitted,raw_verifier,G_generic,1,correct,0,0,'new','new',1,0,0,0
X14-F14-omitted,heldout,temporal_negative_controls,conversational,candidate_omitted,raw_verifier,T_typed,1,correct,0,0,'new','new',1,0,0,0
X14-F14-raw-unavailable,heldout,temporal_negative_controls,conversational,raw_unavailable,raw_verifier,G_generic,0,abstain,1,0,'ABSTAIN','new',0,0,0,0
X14-F14-raw-unavailable,heldout,temporal_negative_controls,conversational,raw_unavailable,raw_verifier,T_typed,0,abstain,1,0,'ABSTAIN','new',0,0,0,0
