case_id,split,topology_family,rendering_family,condition,recoverable_from_raw,status,confidence,covered,output_event_exact,decision_correct,clean_false_correction,corrupted_false_accept,missing_recovered,raw_unavailable_abstained,field_evidence_count,reason_codes,parser_calls,raw_characters,brier_if_covered
X01-F01-clean,development,branch_visibility,explicit,clean,1,accept,0.97999999999999998,1,1,1,0,0,0,0,8,raw_candidate_agree,1,144,0.00040000000000000072
X01-F01-field,development,branch_visibility,explicit,field_corruption,1,correct,0.97999999999999998,1,1,1,0,0,0,0,8,raw_candidate_field_conflict,1,144,0.00040000000000000072
X01-F01-omitted,development,branch_visibility,explicit,candidate_omitted,1,correct,0.97999999999999998,1,1,1,0,0,1,0,8,candidate_missing_raw_reconstruction,1,144,0.00040000000000000072
X01-F01-raw-unavailable,development,branch_visibility,explicit,raw_unavailable,0,abstain,0,0,0,1,0,0,0,1,0,raw_unavailable,0,0,
X02-F02-clean,development,mind_copy_without_world_fork,conversational,clean,1,accept,0.90000000000000002,1,1,1,0,0,0,0,8,raw_candidate_agree,1,93,0.009999999999999995
X02-F02-field,development,mind_copy_without_world_fork,conversational,field_corruption,1,correct,0.90000000000000002,1,1,1,0,0,0,0,8,raw_candidate_field_conflict,1,93,0.009999999999999995
X02-F02-omitted,development,mind_copy_without_world_fork,conversational,candidate_omitted,1,correct,0.90000000000000002,1,1,1,0,0,1,0,8,candidate_missing_raw_reconstruction,1,93,0.009999999999999995
X02-F02-raw-unavailable,development,mind_copy_without_world_fork,conversational,raw_unavailable,0,abstain,0,0,0,1,0,0,0,1,0,raw_unavailable,0,0,
X03-F03-clean,development,world_fork_without_mind_copy,elliptical,clean,1,accept,0.83999999999999997,1,1,1,0,0,0,0,7,raw_candidate_agree,1,53,0.025600000000000012
X03-F03-field,development,world_fork_without_mind_copy,elliptical,field_corruption,1,correct,0.83999999999999997,1,1,1,0,0,0,0,7,raw_candidate_field_conflict,1,53,0.025600000000000012
X03-F03-omitted,development,world_fork_without_mind_copy,elliptical,candidate_omitted,1,correct,0.83999999999999997,1,1,1,0,0,1,0,7,candidate_missing_raw_reconstruction,1,53,0.025600000000000012
