fixture_id,archetype,query_id,target,system,gold,prediction,correct,validator_findings
f01,identity_fork_copy_public_backup,f01-q01,attitude,generic_basic,believe:true,believe:true,1,0
f01,identity_fork_copy_public_backup,f01-q02,attribution,generic_basic,evidence_copy,evidence_copy,1,0
f01,identity_fork_copy_public_backup,f01-q03,disclose,generic_basic,yes,yes,1,0
f01,identity_fork_copy_public_backup,f01-q04,justification,generic_basic,family-camera,family-camera,1,0
f01,identity_fork_copy_public_backup,f01-q05,ever_exposed,generic_basic,yes,yes,1,0
f01,identity_fork_copy_public_backup,f01-q01,attitude,generic_audited,believe:true,believe:true,1,0
f01,identity_fork_copy_public_backup,f01-q02,attribution,generic_audited,evidence_copy,evidence_copy,1,0
f01,identity_fork_copy_public_backup,f01-q03,disclose,generic_audited,yes,yes,1,0
f01,identity_fork_copy_public_backup,f01-q04,justification,generic_audited,family-camera,family-camera,1,0
f01,identity_fork_copy_public_backup,f01-q05,ever_exposed,generic_audited,yes,yes,1,0
f01,identity_fork_copy_public_backup,f01-q01,attitude,typed,believe:true,believe:true,1,0
f01,identity_fork_copy_public_backup,f01-q02,attribution,typed,evidence_copy,evidence_copy,1,0
f01,identity_fork_copy_public_backup,f01-q03,disclose,typed,yes,yes,1,0
f01,identity_fork_copy_public_backup,f01-q04,justification,typed,family-camera,family-camera,1,0
f01,identity_fork_copy_public_backup,f01-q05,ever_exposed,typed,yes,yes,1,0
f02,authorized_operational_replica,f02-q01,attribution,generic_basic,same_principal_state_replication,same_principal_state_replication,1,0
f02,authorized_operational_replica,f02-q02,merge_eligible,generic_basic,yes,yes,1,0
f02,authorized_operational_replica,f02-q03,attitude,generic_basic,believe:true,believe:true,1,0
f02,authorized_operational_replica,f02-q04,available,generic_basic,yes,yes,1,0
f02,authorized_operational_replica,f02-q01,attribution,generic_audited,same_principal_state_replication,same_principal_state_replication,1,0
f02,authorized_operational_replica,f02-q02,merge_eligible,generic_audited,yes,yes,1,0
f02,authorized_operational_replica,f02-q03,attitude,generic_audited,believe:true,believe:true,1,0
f02,authorized_operational_replica,f02-q04,available,generic_audited,yes,yes,1,0
f02,authorized_operational_replica,f02-q01,attribution,typed,same_principal_state_replication,same_principal_state_replication,1,0
f02,authorized_operational_replica,f02-q02,merge_eligible,typed,yes,yes,1,0
f02,authorized_operational_replica,f02-q03,attitude,typed,believe:true,believe:true,1,0
f02,authorized_operational_replica,f02-q04,available,typed,yes,yes,1,0
f03,identity_fork_no_first_person,f03-q01,attribution,generic_basic,evidence_copy,evidence_copy,1,0
f03,identity_fork_no_first_person,f03-q02,merge_eligible,generic_basic,no,no,1,0
f03,identity_fork_no_first_person,f03-q03,attitude,generic_basic,believe:true,believe:true,1,0
f03,identity_fork_no_first_person,f03-q01,attribution,generic_audited,evidence_copy,evidence_copy,1,0
f03,identity_fork_no_first_person,f03-q02,merge_eligible,generic_audited,no,no,1,0
f03,identity_fork_no_first_person,f03-q03,attitude,generic_audited,believe:true,believe:true,1,0
f03,identity_fork_no_first_person,f03-q01,attribution,typed,evidence_copy,evidence_copy,1,0
f03,identity_fork_no_first_person,f03-q02,merge_eligible,typed,no,no,1,0
f03,identity_fork_no_first_person,f03-q03,attitude,typed,believe:true,believe:true,1,0
f04,restore_with_recovery_gap,f04-q01,available,generic_basic,yes,yes,1,0
f04,restore_with_recovery_gap,f04-q02,available,generic_basic,no,no,1,0
f04,restore_with_recovery_gap,f04-q03,ever_exposed,generic_basic,no,no,1,0
f04,restore_with_recovery_gap,f04-q04,attribution,generic_basic,same_principal_snapshot_inheritance,same_principal_snapshot_inheritance,1,0
f04,restore_with_recovery_gap,f04-q01,available,generic_audited,yes,yes,1,0
f04,restore_with_recovery_gap,f04-q02,available,generic_audited,no,no,1,0
f04,restore_with_recovery_gap,f04-q03,ever_exposed,generic_audited,no,no,1,0
f04,restore_with_recovery_gap,f04-q04,attribution,generic_audited,same_principal_snapshot_inheritance,same_principal_snapshot_inheritance,1,0
f04,restore_with_recovery_gap,f04-q01,available,typed,yes,yes,1,0
f04,restore_with_recovery_gap,f04-q02,available,typed,no,no,1,0
f04,restore_with_recovery_gap,f04-q03,ever_exposed,typed,no,no,1,0
f04,restore_with_recovery_gap,f04-q04,attribution,typed,same_principal_snapshot_inheritance,same_principal_snapshot_inheritance,1,0
f05,world_fork_delayed_pre_fork_import,f05-q01,world,generic_basic,old,old,1,0
f05,world_fork_delayed_pre_fork_import,f05-q02,world,generic_basic,child-new,child-new,1,0
f05,world_fork_delayed_pre_fork_import,f05-q03,world,generic_basic,parent-new,parent-new,1,0
f05,world_fork_delayed_pre_fork_import,f05-q01,world,generic_audited,old,old,1,0
f05,world_fork_delayed_pre_fork_import,f05-q02,world,generic_audited,child-new,child-new,1,0
f05,world_fork_delayed_pre_fork_import,f05-q03,world,generic_audited,parent-new,parent-new,1,0
f05,world_fork_delayed_pre_fork_import,f05-q01,world,typed,old,old,1,0
f05,world_fork_delayed_pre_fork_import,f05-q02,world,typed,child-new,child-new,1,0
f05,world_fork_delayed_pre_fork_import,f05-q03,world,typed,parent-new,parent-new,1,0
f06,receipt_without_belief,f06-q01,ever_exposed,generic_basic,yes,yes,1,0
f06,receipt_without_belief,f06-q02,available,generic_basic,yes,yes,1,0
f06,receipt_without_belief,f06-q03,attitude,generic_basic,unknown,unknown,1,0
f06,receipt_without_belief,f06-q04,attribution,generic_basic,attributed_report,attributed_report,1,0
f06,receipt_without_belief,f06-q01,ever_exposed,generic_audited,yes,yes,1,0
f06,receipt_without_belief,f06-q02,available,generic_audited,yes,yes,1,0
f06,receipt_without_belief,f06-q03,attitude,generic_audited,unknown,unknown,1,0
f06,receipt_without_belief,f06-q04,attribution,generic_audited,attributed_report,attributed_report,1,0
f06,receipt_without_belief,f06-q01,ever_exposed,typed,yes,yes,1,0
f06,receipt_without_belief,f06-q02,available,typed,yes,yes,1,0
f06,receipt_without_belief,f06-q03,attitude,typed,unknown,unknown,1,0
f06,receipt_without_belief,f06-q04,attribution,typed,attributed_report,attributed_report,1,0
f07,receipt_and_rejection,f07-q01,attitude,generic_basic,disbelieve:true,disbelieve:true,1,0
