case_id,split,topology_family,rendering_family,condition,treatment,architecture,selected_event_exact,verifier_status,abstained,projection_error,answer,expected_answer,answer_correct,silent_wrong_use,unsafe_disclosure,false_denial
X01-F01-clean,development,branch_visibility,explicit,clean,structured_only,G_generic,1,accept,0,0,'Room 0','Room 0',1,0,0,0
X01-F01-clean,development,branch_visibility,explicit,clean,structured_only,T_typed,1,accept,0,0,'Room 0','Room 0',1,0,0,0
X01-F01-field,development,branch_visibility,explicit,field_corruption,structured_only,G_generic,0,correct,0,0,'Room 1','Room 0',0,1,0,0
X01-F01-field,development,branch_visibility,explicit,field_corruption,structured_only,T_typed,0,correct,0,0,'Room 1','Room 0',0,1,0,0
X01-F01-omitted,development,branch_visibility,explicit,candidate_omitted,structured_only,G_generic,0,correct,0,0,'Room 1','Room 0',0,1,0,0
X01-F01-omitted,development,branch_visibility,explicit,candidate_omitted,structured_only,T_typed,0,correct,0,0,'Room 1','Room 0',0,1,0,0
X01-F01-raw-unavailable,development,branch_visibility,explicit,raw_unavailable,structured_only,G_generic,0,abstain,0,0,'Room 1','Room 0',0,1,0,0
X01-F01-raw-unavailable,development,branch_visibility,explicit,raw_unavailable,structured_only,T_typed,0,abstain,0,0,'Room 1','Room 0',0,1,0,0
X02-F02-clean,development,mind_copy_without_world_fork,conversational,clean,structured_only,G_generic,1,accept,0,0,'believe','believe',1,0,0,0
X02-F02-clean,development,mind_copy_without_world_fork,conversational,clean,structured_only,T_typed,1,accept,0,0,'believe','believe',1,0,0,0
X02-F02-field,development,mind_copy_without_world_fork,conversational,field_corruption,structured_only,G_generic,0,correct,0,0,'disbelieve','believe',0,1,0,0
X02-F02-field,development,mind_copy_without_world_fork,conversational,field_corruption,structured_only,T_typed,0,correct,0,0,'disbelieve','believe',0,1,0,0
X02-F02-omitted,development,mind_copy_without_world_fork,conversational,candidate_omitted,structured_only,G_generic,0,correct,0,0,'unknown','believe',0,1,0,0
X02-F02-omitted,development,mind_copy_without_world_fork,conversational,candidate_omitted,structured_only,T_typed,0,correct,0,0,'unknown','believe',0,1,0,0
X02-F02-raw-unavailable,development,mind_copy_without_world_fork,conversational,raw_unavailable,structured_only,G_generic,0,abstain,0,0,'disbelieve','believe',0,1,0,0
X02-F02-raw-unavailable,development,mind_copy_without_world_fork,conversational,raw_unavailable,structured_only,T_typed,0,abstain,0,0,'disbelieve','believe',0,1,0,0
X03-F03-clean,development,world_fork_without_mind_copy,elliptical,clean,structured_only,G_generic,1,accept,0,0,'red','red',1,0,0,0
X03-F03-clean,development,world_fork_without_mind_copy,elliptical,clean,structured_only,T_typed,1,accept,0,0,'red','red',1,0,0,0
X03-F03-field,development,world_fork_without_mind_copy,elliptical,field_corruption,structured_only,G_generic,0,correct,0,0,'gray','red',0,1,0,0
