grouping,group,system,n,accuracy
template,backdated_correction,B3_global_character,144,1.0
template,belief_vs_world,B3_global_character,144,0.6666666666666666
template,combined,B3_global_character,144,0.5
template,cross_world_report,B3_global_character,144,0.6666666666666666
template,mind_fork_isolation,B3_global_character,144,0.6666666666666666
template,private_derivation,B3_global_character,144,0.6666666666666666
template,restore_gap,B3_global_character,144,0.6666666666666666
template,rumor_laundering,B3_global_character,144,0.6666666666666666
template,sealed_memory,B3_global_character,144,0.8333333333333334
template,selective_transfer,B3_global_character,144,0.5555555555555556
template,world_fork_isolation,B3_global_character,144,0.3333333333333333
template,backdated_correction,B5_branch_scoped_character,144,1.0
template,belief_vs_world,B5_branch_scoped_character,144,0.6666666666666666
template,combined,B5_branch_scoped_character,144,0.6666666666666666
template,cross_world_report,B5_branch_scoped_character,144,1.0
template,mind_fork_isolation,B5_branch_scoped_character,144,0.6666666666666666
template,private_derivation,B5_branch_scoped_character,144,0.6666666666666666
template,restore_gap,B5_branch_scoped_character,144,0.6666666666666666
template,rumor_laundering,B5_branch_scoped_character,144,0.6666666666666666
template,sealed_memory,B5_branch_scoped_character,144,0.8333333333333334
template,selective_transfer,B5_branch_scoped_character,144,0.5555555555555556
template,world_fork_isolation,B5_branch_scoped_character,144,1.0
template,backdated_correction,B5a_lineage_only,144,1.0
template,belief_vs_world,B5a_lineage_only,144,1.0
template,combined,B5a_lineage_only,144,0.8333333333333334
template,cross_world_report,B5a_lineage_only,144,1.0
template,mind_fork_isolation,B5a_lineage_only,144,1.0
template,private_derivation,B5a_lineage_only,144,0.6666666666666666
template,restore_gap,B5a_lineage_only,144,1.0
template,rumor_laundering,B5a_lineage_only,144,0.6666666666666666
template,sealed_memory,B5a_lineage_only,144,1.0
template,selective_transfer,B5a_lineage_only,144,1.0
template,world_fork_isolation,B5a_lineage_only,144,1.0
template,backdated_correction,B5b_policy_only,144,1.0
template,belief_vs_world,B5b_policy_only,144,0.6666666666666666
template,combined,B5b_policy_only,144,0.8333333333333334
template,cross_world_report,B5b_policy_only,144,1.0
template,mind_fork_isolation,B5b_policy_only,144,0.6666666666666666
template,private_derivation,B5b_policy_only,144,1.0
template,restore_gap,B5b_policy_only,144,0.6666666666666666
template,rumor_laundering,B5b_policy_only,144,1.0
template,sealed_memory,B5b_policy_only,144,0.8333333333333334
template,selective_transfer,B5b_policy_only,144,0.5555555555555556
template,world_fork_isolation,B5b_policy_only,144,1.0
template,backdated_correction,B6_ncm_psi,144,1.0
template,belief_vs_world,B6_ncm_psi,144,1.0
template,combined,B6_ncm_psi,144,1.0
template,cross_world_report,B6_ncm_psi,144,1.0
template,mind_fork_isolation,B6_ncm_psi,144,1.0
template,private_derivation,B6_ncm_psi,144,1.0
template,restore_gap,B6_ncm_psi,144,1.0
template,rumor_laundering,B6_ncm_psi,144,1.0
template,sealed_memory,B6_ncm_psi,144,1.0
template,selective_transfer,B6_ncm_psi,144,1.0
template,world_fork_isolation,B6_ncm_psi,144,1.0
query_kind,access,B3_global_character,384,0.5625
query_kind,attitude,B3_global_character,408,0.6078431372549019
query_kind,disclose,B3_global_character,168,0.7142857142857143
query_kind,ever_exposed,B3_global_character,48,1.0
query_kind,lineage,B3_global_character,120,0.8
query_kind,source_count,B3_global_character,96,0.25
query_kind,world,B3_global_character,360,0.8
query_kind,access,B5_branch_scoped_character,384,0.6875
query_kind,attitude,B5_branch_scoped_character,408,0.7254901960784313
query_kind,disclose,B5_branch_scoped_character,168,0.7142857142857143
query_kind,ever_exposed,B5_branch_scoped_character,48,1.0
query_kind,lineage,B5_branch_scoped_character,120,0.8
query_kind,source_count,B5_branch_scoped_character,96,0.25
query_kind,world,B5_branch_scoped_character,360,1.0
query_kind,access,B5a_lineage_only,384,1.0
query_kind,attitude,B5a_lineage_only,408,1.0
query_kind,disclose,B5a_lineage_only,168,0.7142857142857143
query_kind,ever_exposed,B5a_lineage_only,48,1.0
query_kind,lineage,B5a_lineage_only,120,1.0
query_kind,source_count,B5a_lineage_only,96,0.25
query_kind,world,B5a_lineage_only,360,1.0
query_kind,access,B5b_policy_only,384,0.6875
query_kind,attitude,B5b_policy_only,408,0.7254901960784313
query_kind,disclose,B5b_policy_only,168,1.0
query_kind,ever_exposed,B5b_policy_only,48,1.0
query_kind,lineage,B5b_policy_only,120,0.8
query_kind,source_count,B5b_policy_only,96,1.0
query_kind,world,B5b_policy_only,360,1.0
query_kind,access,B6_ncm_psi,384,1.0
query_kind,attitude,B6_ncm_psi,408,1.0
query_kind,disclose,B6_ncm_psi,168,1.0
query_kind,ever_exposed,B6_ncm_psi,48,1.0
query_kind,lineage,B6_ncm_psi,120,1.0
query_kind,source_count,B6_ncm_psi,96,1.0
query_kind,world,B6_ncm_psi,360,1.0
failure_family,cross_instance,B3_global_character,720,0.6444444444444445
failure_family,cross_world,B3_global_character,336,0.5
failure_family,other,B3_global_character,360,1.0
failure_family,provenance_laundering,B3_global_character,96,0.25
failure_family,unauthorized_disclosure,B3_global_character,72,0.3333333333333333
failure_family,cross_instance,B5_branch_scoped_character,720,0.6444444444444445
failure_family,cross_world,B5_branch_scoped_character,336,1.0
failure_family,other,B5_branch_scoped_character,360,1.0
failure_family,provenance_laundering,B5_branch_scoped_character,96,0.25
failure_family,unauthorized_disclosure,B5_branch_scoped_character,72,0.3333333333333333
failure_family,cross_instance,B5a_lineage_only,720,1.0
failure_family,cross_world,B5a_lineage_only,336,1.0
failure_family,other,B5a_lineage_only,360,1.0
failure_family,provenance_laundering,B5a_lineage_only,96,0.25
failure_family,unauthorized_disclosure,B5a_lineage_only,72,0.3333333333333333
failure_family,cross_instance,B5b_policy_only,720,0.6444444444444445
failure_family,cross_world,B5b_policy_only,336,1.0
failure_family,other,B5b_policy_only,360,1.0
failure_family,provenance_laundering,B5b_policy_only,96,1.0
failure_family,unauthorized_disclosure,B5b_policy_only,72,1.0
failure_family,cross_instance,B6_ncm_psi,720,1.0
failure_family,cross_world,B6_ncm_psi,336,1.0
failure_family,other,B6_ncm_psi,360,1.0
failure_family,provenance_laundering,B6_ncm_psi,96,1.0
failure_family,unauthorized_disclosure,B6_ncm_psi,72,1.0
