case_id,family,observer,surface,clean_control,identifiable,detected,contained,answer_correct,silent_incorrect_use,answer,expected_clean_answer,alert_rules,candidate_event_ids,candidate_constraint_ids,mutated_event_hit,responsible_recall,localization_precision,exact_responsible_set,candidate_set_size
E01,duplicate_conflicting_event_id,G_generic_observer_v0.2,BYTES,False,True,True,True,False,False,'QUARANTINED',False,duplicate_conflicting_event_id,E01.observe,event_id_unique,True,1.0,0.5,False,2
E01,duplicate_conflicting_event_id,T_typed_observer_v0.2,BYTES,False,True,True,True,False,False,'QUARANTINED',False,typed_duplicate_conflicting_event_id,E01.observe,typed_event_id_unique,True,1.0,0.5,False,2
E02,unknown_placement_reference,G_generic_observer_v0.2,LOCAL_SCHEMA,False,True,True,True,False,False,'QUARANTINED',True,evidence_unknown_placement|generic_evidence_unknown_placement,E02.evidence,evidence_placement_fk,True,1.0,0.5,False,2
E02,unknown_placement_reference,T_typed_observer_v0.2,LOCAL_SCHEMA,False,True,True,True,False,False,'QUARANTINED',True,typed_evidence_unknown_placement,E02.evidence,evidence_placement_fk,True,1.0,0.5,False,2
E03,actor_principal_mind_mismatch,G_generic_observer_v0.2,LOCAL_SCHEMA,False,True,True,True,False,False,'QUARANTINED','direct_observation',generic_actor_principal_mind_mismatch,E03.evidence,actor_principal_matches_mind,True,1.0,0.5,False,2
E03,actor_principal_mind_mismatch,T_typed_observer_v0.2,LOCAL_SCHEMA,False,True,True,True,False,False,'QUARANTINED','direct_observation',typed_actor_principal_mind_mismatch|typed_projection_rejected,E03.evidence,actor_principal_matches_mind|typed_projection_integrity,True,1.0,0.3333333333333333,False,3
E04,unauthorized_state_replication,G_generic_observer_v0.2,SEMANTIC_JOURNAL,False,True,True,True,False,False,'QUARANTINED','same_principal_state_replication',invalid_state_replication,E04.replicate,state_replication_authorized,True,1.0,0.5,False,2
E04,unauthorized_state_replication,T_typed_observer_v0.2,SEMANTIC_JOURNAL,False,True,True,True,False,False,'QUARANTINED','same_principal_state_replication',typed_invalid_state_replication,E04.replicate,state_replication_authorized,True,1.0,0.5,False,2
E05,transfer_source_not_exposed,G_generic_observer_v0.2,SEMANTIC_JOURNAL,False,True,True,True,False,False,'QUARANTINED',True,generic_source_not_explicitly_exposed,E05.receive,transfer_source_exposed,True,1.0,0.5,False,2
E05,transfer_source_not_exposed,T_typed_observer_v0.2,SEMANTIC_JOURNAL,False,True,True,True,False,False,'QUARANTINED',True,typed_source_not_explicitly_exposed,E05.receive,transfer_source_exposed,True,1.0,0.5,False,2
E06,identity_fork_principal_collapse,G_generic_observer_v0.2,SEMANTIC_JOURNAL,False,True,True,True,False,False,'QUARANTINED','unknown',identity_fork_principal_not_distinct,E06.lineage,identity_fork_distinct_principal,True,1.0,0.5,False,2
E06,identity_fork_principal_collapse,T_typed_observer_v0.2,SEMANTIC_JOURNAL,False,True,True,True,False,False,'QUARANTINED','unknown',typed_identity_fork_principal_not_distinct,E06.lineage,identity_fork_distinct_principal,True,1.0,0.5,False,2
E07,snapshot_member_after_cutoff,G_generic_observer_v0.2,SEMANTIC_JOURNAL,False,True,True,True,False,False,'QUARANTINED',True,snapshot_member_post_cutoff,E07.evidence|E07.manifest,snapshot_member_before_cutoff,True,0.6666666666666666,0.6666666666666666,False,3
E07,snapshot_member_after_cutoff,T_typed_observer_v0.2,SEMANTIC_JOURNAL,False,True,True,True,False,False,'QUARANTINED',True,typed_snapshot_member_post_cutoff,E07.E|E07.manifest,snapshot_member_before_cutoff,True,0.3333333333333333,0.3333333333333333,False,3
E08,forward_reference_policy_laundering,G_generic_observer_v0.2,SEMANTIC_JOURNAL,False,True,True,True,False,False,'QUARANTINED','unknown',policy_laundering,E08.child|E08.parent,derived_policy_not_weaker,True,1.0,0.6666666666666666,False,3
E08,forward_reference_policy_laundering,T_typed_observer_v0.2,SEMANTIC_JOURNAL,False,True,True,True,False,False,'QUARANTINED','unknown',typed_policy_laundering,E08.child|E08.parent,derived_policy_not_weaker,True,1.0,0.6666666666666666,False,3
E09,forward_reference_nonindependent_support,G_generic_observer_v0.2,SEMANTIC_JOURNAL,False,True,True,True,False,False,'QUARANTINED',True,non_independent_support,E09.E1|E09.E2|E09.JEV,minimum_independent_sources,True,0.3333333333333333,0.25,False,4
E09,forward_reference_nonindependent_support,T_typed_observer_v0.2,SEMANTIC_JOURNAL,False,True,True,True,False,False,'QUARANTINED',True,typed_non_independent_support,E09.E1|E09.E2|E09.J,minimum_independent_sources,False,0.0,0.0,False,4
E10,committed_revoke_omitted,G_generic_observer_v0.2,EXTERNAL_COMMITMENT,False,True,True,True,False,False,'QUARANTINED',False,journal_head_mismatch|journal_sequence_or_membership_mismatch,E10.revoke,journal_head_committed|journal_sequence_committed,True,1.0,0.3333333333333333,False,3
E10,committed_revoke_omitted,T_typed_observer_v0.2,EXTERNAL_COMMITMENT,False,True,True,True,False,False,'QUARANTINED',False,typed_journal_head_mismatch|typed_journal_sequence_or_membership_mismatch,E10.revoke,journal_head_committed|journal_sequence_committed,True,1.0,0.3333333333333333,False,3
E11,committed_event_tamper,G_generic_observer_v0.2,EXTERNAL_COMMITMENT,False,True,True,True,False,False,'QUARANTINED','unknown',journal_event_hash_mismatch|journal_head_mismatch,E11.evidence,journal_event_hash_committed|journal_head_committed,True,1.0,0.3333333333333333,False,3
E11,committed_event_tamper,T_typed_observer_v0.2,EXTERNAL_COMMITMENT,False,True,True,True,False,False,'QUARANTINED','unknown',typed_journal_event_hash_mismatch|typed_journal_head_mismatch,E11.evidence,journal_event_hash_committed|journal_head_committed,True,1.0,0.3333333333333333,False,3
E12,committed_append_order_changed,G_generic_observer_v0.2,EXTERNAL_COMMITMENT,False,True,True,True,False,False,'QUARANTINED',True,journal_head_mismatch|journal_sequence_or_membership_mismatch,,journal_head_committed|journal_sequence_committed,False,0.0,0.0,False,2
E12,committed_append_order_changed,T_typed_observer_v0.2,EXTERNAL_COMMITMENT,False,True,True,True,False,False,'QUARANTINED',True,typed_journal_head_mismatch|typed_journal_sequence_or_membership_mismatch,,journal_head_committed|journal_sequence_committed,False,0.0,0.0,False,2
E13,stale_projection_content,G_generic_observer_v0.2,PROJECTION_COMMITMENT,False,True,True,True,False,False,'QUARANTINED',True,projection_content_mismatch,,projection_content_committed,False,1.0,1.0,True,1
E13,stale_projection_content,T_typed_observer_v0.2,PROJECTION_COMMITMENT,False,True,True,True,False,False,'QUARANTINED',True,typed_projection_content_mismatch,,projection_content_committed,False,1.0,1.0,True,1
E14,unwitnessed_revoke_omission,G_generic_observer_v0.2,SEMANTIC_JOURNAL,False,False,False,False,False,True,True,False,,,,False,0.0,0.0,False,0
E14,unwitnessed_revoke_omission,T_typed_observer_v0.2,SEMANTIC_JOURNAL,False,False,False,False,False,True,True,False,,,,False,0.0,0.0,False,0
C01,clean_valid_declassification,G_generic_observer_v0.2,SEMANTIC_JOURNAL,True,True,False,False,True,False,'unknown','unknown',,,,False,0.0,0.0,False,0
C01,clean_valid_declassification,T_typed_observer_v0.2,SEMANTIC_JOURNAL,True,True,False,False,True,False,'unknown','unknown',,,,False,0.0,0.0,False,0
C02,clean_forward_independent_support,G_generic_observer_v0.2,SEMANTIC_JOURNAL,True,True,False,False,True,False,True,True,,,,False,0.0,0.0,False,0
